iter	Passed	Remaining
0	148	147931
1	274	136814
2	410	136460
3	548	136682
4	676	134584
5	799	132384
6	926	131386
7	1051	130441
8	1181	130098
9	1306	129297
10	1431	128746
11	1553	127886
12	1677	127378
13	1796	126544
14	1916	125868
15	2037	125279
16	2159	124867
17	2288	124853
18	2416	124788
19	2541	124525
20	2663	124191
21	2788	123948
22	2922	124143
23	3050	124039
24	3175	123829
25	3297	123521
26	3418	123197
27	3537	122800
28	3659	122546
29	3783	122331
30	3913	122312
31	4040	122235
32	4168	122146
33	4322	122821
34	4474	123360
35	4594	123020
36	4725	122994
37	4848	122749
38	4973	122563
39	5098	122355
40	5223	122174
41	5346	121960
42	5471	121761
43	5603	121741
44	5730	121614
45	5854	121424
46	5975	121156
47	6103	121059
48	6240	121120
49	6368	120999
50	6494	120839
51	6624	120764
52	6757	120746
53	6882	120579
54	7014	120516
55	7193	121253
56	7322	121140
57	7459	121157
58	7609	121363
59	7751	121447
60	7890	121468
61	8015	121261
62	8139	121058
63	8263	120856
64	8395	120772
65	8534	120770
66	8686	120965
67	8819	120874
68	8943	120678
69	9066	120460
70	9189	120240
71	9309	119990
72	9434	119809
73	9556	119579
74	9681	119407
75	9803	119189
76	9928	119018
77	10057	118884
78	10185	118746
79	10305	118509
80	10427	118307
81	10547	118075
82	10667	117860
83	10788	117647
84	10908	117423
85	11026	117187
86	11144	116956
87	11268	116782
88	11397	116662
89	11524	116527
90	11650	116373
91	11771	116183
92	11892	115986
93	12016	115814
94	12148	115728
95	12273	115574
96	12397	115408
97	12519	115227
98	12641	115052
99	12765	114890
100	12885	114696
101	13006	114511
102	13141	114445
103	13278	114400
104	13407	114281
105	13533	114144
106	13668	114073
107	13792	113914
108	13916	113754
109	14073	113868
110	14244	114085
111	14373	113958
112	14498	113803
113	14623	113651
114	14750	113518
115	14917	113683
116	15051	113592
117	15180	113465
118	15300	113275
119	15421	113091
120	15549	112956
121	15676	112817
122	15810	112731
123	15938	112599
124	16060	112422
125	16187	112284
126	16312	112132
127	16451	112073
128	16604	112113
129	16732	111980
130	16858	111835
131	16981	111665
132	17107	111521
133	17232	111365
134	17355	111202
135	17478	111041
136	17601	110876
137	17728	110739
138	17859	110626
139	17979	110445
140	18116	110369
141	18247	110258
142	18378	110142
143	18512	110046
144	18653	109991
145	18790	109913
146	18916	109768
147	19038	109602
148	19162	109443
149	19300	109367
150	19421	109197
151	19549	109065
152	19681	108954
153	19801	108780
154	19929	108649
155	20090	108692
156	20235	108651
157	20367	108541
158	20500	108432
159	20632	108320
160	20757	108169
161	20878	108003
162	20998	107827
163	21119	107657
164	21243	107505
165	21367	107350
166	21493	107211
167	21622	107083
168	21746	106932
169	21869	106773
170	21990	106609
171	22117	106474
172	22237	106304
173	22358	106137
174	22478	105969
175	22607	105843
176	22730	105689
177	22852	105531
178	22971	105362
179	23091	105196
180	23221	105072
181	23344	104921
182	23467	104770
183	23590	104617
184	23720	104499
185	23848	104369
186	23970	104213
187	24091	104055
188	24213	103902
189	24343	103781
190	24474	103666
191	24601	103529
192	24723	103375
193	24848	103236
194	24969	103080
195	25093	102933
196	25214	102775
197	25332	102610
198	25461	102486
199	25586	102346
200	25707	102192
201	25829	102041
202	25952	101892
203	26073	101736
204	26196	101589
205	26316	101435
206	26438	101284
207	26562	101141
208	26687	101003
209	26808	100851
210	26928	100695
211	27048	100539
212	27170	100389
213	27290	100233
214	27418	100111
215	27541	99966
216	27663	99819
217	27789	99684
218	27910	99533
219	28034	99395
220	28157	99253
221	28282	99115
222	28406	98977
223	28526	98825
224	28647	98674
225	28766	98519
226	28892	98387
227	29014	98240
228	29139	98107
229	29264	97972
230	29387	97830
231	29509	97685
232	29630	97539
233	29750	97389
234	29872	97243
235	29991	97090
236	30111	96939
237	30231	96793
238	30354	96650
239	30472	96495
240	30592	96346
241	30717	96213
242	30839	96071
243	30963	95936
244	31085	95794
245	31207	95651
246	31327	95505
247	31448	95359
248	31567	95209
249	31691	95075
250	31826	94972
251	31948	94832
252	32068	94685
253	32192	94550
254	32321	94428
255	32445	94293
256	32574	94173
257	32696	94035
258	32821	93901
259	32945	93767
260	33073	93646
261	33196	93508
262	33321	93377
263	33449	93253
264	33579	93136
265	33704	93002
266	33827	92867
267	33947	92723
268	34076	92603
269	34202	92472
270	34323	92330
271	34444	92188
272	34564	92045
273	34684	91901
274	34808	91768
275	34928	91624
276	35047	91478
277	35168	91338
278	35292	91204
279	35420	91081
280	35545	90950
281	35669	90819
282	35796	90692
283	35918	90554
284	36042	90423
285	36163	90282
286	36282	90138
287	36406	90004
288	36525	89859
289	36646	89720
290	36772	89593
291	36895	89457
292	37015	89317
293	37137	89180
294	37263	89053
295	37384	88913
296	37505	88775
297	37627	88639
298	37747	88497
299	37867	88357
300	37989	88221
301	38114	88091
302	38243	87973
303	38388	87889
304	38555	87855
305	38697	87764
306	38826	87643
307	38950	87512
308	39078	87390
309	39203	87260
310	39327	87127
311	39447	86987
312	39573	86860
313	39696	86726
314	39824	86602
315	39951	86477
316	40077	86348
317	40197	86210
318	40319	86074
319	40439	85934
320	40562	85800
321	40683	85663
322	40802	85520
323	40920	85377
324	41042	85241
325	41166	85111
326	41298	84997
327	41437	84896
328	41560	84764
329	41686	84636
330	41817	84518
331	41945	84397
332	42070	84267
333	42199	84146
334	42325	84018
335	42449	83888
336	42573	83758
337	42700	83631
338	42823	83499
339	42947	83367
340	43071	83237
341	43198	83112
342	43329	82996
343	43455	82869
344	43581	82740
345	43705	82610
346	43830	82481
347	43966	82374
348	44090	82243
349	44212	82109
350	44336	81977
351	44458	81844
352	44579	81707
353	44703	81577
354	44831	81454
355	44957	81328
356	45082	81198
357	45216	81086
358	45379	81025
359	45515	80917
360	45649	80803
361	45785	80693
362	45914	80571
363	46056	80472
364	46205	80384
365	46352	80293
366	46496	80196
367	46629	80080
368	46763	79966
369	46899	79856
370	47029	79734
371	47165	79623
372	47294	79499
373	47475	79463
374	47600	79333
375	47731	79214
376	47869	79105
377	47999	78983
378	48133	78867
379	48264	78746
380	48410	78651
381	48557	78556
382	48698	78451
383	48868	78392
384	49011	78291
385	49158	78195
386	49291	78076
387	49423	77957
388	49550	77829
389	49682	77708
390	49826	77607
391	50003	77556
392	50144	77450
393	50277	77330
394	50419	77224
395	50553	77107
396	50699	77007
397	50831	76886
398	50962	76763
399	51097	76646
400	51229	76525
401	51364	76408
402	51501	76293
403	51632	76170
404	51782	76075
405	51925	75969
406	52056	75846
407	52209	75755
408	52366	75669
409	52552	75623
410	52694	75515
411	52867	75451
412	53071	75430
413	53317	75468
414	53530	75458
415	53659	75329
416	53795	75210
417	53920	75075
418	54051	74950
419	54168	74803
420	54291	74666
421	54468	74603
422	54620	74506
423	54760	74391
424	54883	74254
425	55006	74116
426	55129	73979
427	55244	73831
428	55358	73682
429	55477	73540
430	55633	73446
431	55763	73318
432	55877	73170
433	56002	73035
434	56118	72890
435	56232	72741
436	56346	72592
437	56464	72449
438	56610	72342
439	56730	72202
440	56847	72058
441	56969	71920
442	57086	71776
443	57203	71633
444	57327	71498
445	57442	71352
446	57565	71216
447	57679	71069
448	57794	70924
449	57911	70780
450	58025	70633
451	58144	70494
452	58265	70356
453	58402	70237
454	58532	70110
455	58668	69990
456	58796	69861
457	58925	69732
458	59049	69599
459	59166	69456
460	59291	69323
461	59408	69181
462	59535	69051
463	59656	68913
464	59783	68782
465	59908	68650
466	60031	68516
467	60157	68384
468	60279	68248
469	60403	68114
470	60530	67983
471	60652	67848
472	60772	67710
473	60894	67575
474	61017	67440
475	61133	67297
476	61256	67163
477	61375	67025
478	61489	66880
479	61604	66738
480	61718	66594
481	61832	66450
482	61945	66306
483	62058	66161
484	62171	66017
485	62288	65876
486	62402	65733
487	62519	65594
488	62636	65454
489	62752	65313
490	62867	65172
491	62984	65032
492	63099	64891
493	63213	64749
494	63327	64606
495	63440	64463
496	63555	64323
497	63669	64181
498	63783	64039
499	63906	63906
500	64022	63767
501	64145	63634
502	64264	63497
503	64378	63356
504	64496	63219
505	64616	63083
506	64732	62944
507	64852	62810
508	64975	62677
509	65100	62547
510	65229	62421
511	65350	62286
512	65469	62151
513	65586	62013
514	65714	61886
515	65879	61794
516	66031	61689
517	66172	61573
518	66423	61559
